season,playerId,player,position,team,conference,category,statType,stat
2020,4426598,Isaiah Azubuike,RB,Arkansas State,Sun Belt,receiving,REC,1
2020,4430804,Chris Tyree,WR,Notre Dame,FBS Independents,rushing,CAR,73
2020,4382466,Jalen Nailor,WR,Michigan State,Big Ten,puntReturns,TD,0
2020,4034303,Chris Ferguson,QB,Liberty,FBS Independents,passing,TD,4
2020,4575667,Deion Hankins,RB,UTEP,Conference USA,rushing,YDS,592
2020,4259908,Braylon Sanders,WR,Ole Miss,SEC,defensive,SACKS,0
2020,4242408,Chase Garbers,QB,California,Pac-12,passing,YDS,771
2020,4428512,Kedon Slovis,QB,USC,Pac-12,fumbles,REC,0
2020,4035638,Jesse Brown,RB,Northwestern,Big Ten,rushing,YDS,36
2020,4597703,Tory Horton,WR,Nevada,Mountain West,defensive,TD,0
2020,4244075,Isaac Vance,WR,Kent State,Mid-American,receiving,YDS,148
2020,4036211,DJ Turner,WR,Pittsburgh,ACC,defensive,TOT,3
2020,4426339,Spencer Rattler,QB,Oklahoma,Big 12,rushing,TD,6
2020,4039912,B.J. Smith,RB,Troy,Sun Belt,defensive,SACKS,0
2020,4241410,Jelani Woods,TE,Oklahoma State,Big 12,receiving,REC,8
2020,4035670,Devonta'e Henry-Cole,RB,Utah State,Mountain West,defensive,QB HUR,0
2020,4243168,K.D. Nixon,WR,Colorado,Pac-12,rushing,CAR,1
2020,4362162,SaRodorick Thompson,RB,Texas Tech,Big 12,fumbles,LOST,1
2020,4039115,Ryan Luehrman,TE,Ohio,Mid-American,receiving,REC,7
2020,4240904,Kellen Mond,QB,Texas A&M,SEC,rushing,YDS,294
2020,4430067,Jaren Mangham,RB,Colorado,Pac-12,receiving,YDS,10
2020,4360698,Joe Milton,QB,Michigan,Big Ten,rushing,TD,1
2020,4427728,Zonovan Knight,RB,NC State,ACC,kickReturns,TD,1
2020,4428439,Collin Schlee,QB,Kent State,Mid-American,fumbles,REC,0
2020,4361050,Isaiah Likely,TE,Coastal Carolina,Sun Belt,receiving,YDS,601
2020,4432431,Avery Morrow,RB,Nevada,Mountain West,rushing,TD,1
2020,4242209,Jontre Kirklin,WR,LSU,SEC,defensive,SACKS,0
2020,4362018,Blake Whiteheart,TE,Wake Forest,ACC,receiving,YDS,61
2020,4570259,Daniel Richardson,QB,Central Michigan,Mid-American,defensive,TFL,1
2020,4241671,Jeremiah Haydel,WR,Texas State,Sun Belt,kickReturns,YDS,479
2020,4242558,Tucker Fisk,TE,Stanford,Pac-12,defensive,TOT,2
2020,4361741,Brock Purdy,QB,Iowa State,Big 12,passing,TD,19
2020,4570218,Jonah Panoke,WR,Hawai'i,Mountain West,receiving,YDS,83
2020,3917179,Jamal Jones,RB,Arkansas State,Sun Belt,receiving,REC,17
2020,4372768,Phil Jurkovec,QB,Boston College,ACC,passing,YDS,2558
2020,4257599,Marlon Williams,WR,UCF,American Athletic,receiving,YDS,1017
2020,4430591,Charvis Thornton,RB,Louisiana Tech,Conference USA,defensive,QB HUR,0
2020,4034332,Michael Collins,QB,Rice,Conference USA,rushing,TD,0
2020,4040723,T.J. Simmons,WR,West Virginia,Big 12,fumbles,FUM,1
2020,4242433,Josh Palmer,WR,Tennessee,SEC,receiving,REC,33
2020,4401311,Devin Maddox,WR,Toledo,Mid-American,defensive,TFL,0
2020,4240899,Roshauud Paul,WR,Arkansas State,Sun Belt,puntReturns,NO,5
2020,4068152,Kawaan Baker,WR,South Alabama,Sun Belt,defensive,SOLO,2
2020,4036788,Jaxson Kincaide,RB,Western Michigan,Mid-American,receiving,TD,0
2020,4036676,Darion Anderson,WR,Georgia Southern,Sun Belt,defensive,TOT,2
2020,4565652,Errol Rogers Jr.,WR,Louisiana,Sun Belt,receiving,YDS,116
2020,4430894,Caziah Holmes,RB,Penn State,Big Ten,receiving,TD,0
2020,4032247,Raleigh Webb,WR,The Citadel,Southern,rushing,TD,0
2020,4372015,Xavier Williams,WR,Alabama,SEC,receiving,REC,3
2020,4362308,Jerome Buckner,WR,Ohio,Mid-American,receiving,TD,0
2020,4240842,Hayden Mitchell,WR,Virginia,ACC,defensive,TD,0
2020,4241138,Wesley Kennedy III,RB,Georgia Southern,Sun Belt,kickReturns,TD,0
2020,4250105,Miller Mosley,QB,Georgia Southern,Sun Belt,passing,TD,1
2020,4036026,Dez Fitzpatrick,WR,Louisville,ACC,receiving,YDS,833
2020,4429205,Jordan Addison,WR,Pittsburgh,ACC,receiving,YDS,666
2020,4426485,Jonathan Mingo,WR,Ole Miss,SEC,receiving,YDS,379
2020,4428119,Lew Nichols,RB,Central Michigan,Mid-American,rushing,TD,4
2020,4361504,BJ Busbee,WR,San Diego State,Mountain West,kickReturns,NO,2
2020,4239392,Trace Christian,RB,East Carolina,American Athletic,defensive,TOT,2
2020,4040880,Sam Noyer,QB,Colorado,Pac-12,passing,TD,6
2020,4687460,Hobbs Nyberg,WR,BYU,FBS Independents,puntReturns,TD,0
2020,4365426,Cortez Hall,WR,North Alabama,Big South,receiving,YDS,78
2020,4360115,Slade Bolden,WR,Alabama,SEC,puntReturns,YDS,49
2020,4362887,Justin Fields,QB,Ohio State,Big Ten,rushing,YDS,383
2020,4241737,Luke Whittemore,WR,Troy,Sun Belt,receiving,TD,1
2020,4426998,Javien Cuff,WR,Buffalo,Mid-American,interceptions,YDS,34
2020,4430602,Mohamed Toure,WR,Northern Illinois,Mid-American,defensive,SOLO,1
2020,4367175,Kyle Philips,WR,UCLA,Pac-12,defensive,SACKS,0
2020,4426449,Boobie Curry,WR,Arizona,Pac-12,receiving,TD,0
2020,4429481,Marcus Crowley,RB,Ohio State,Big Ten,defensive,QB HUR,0
2020,4244075,Isaac Vance,WR,Kent State,Mid-American,fumbles,LOST,1
2020,4036429,Zac Thomas,QB,App State,Sun Belt,fumbles,REC,0
2020,4576189,Aveon Smith,QB,Miami (OH),Mid-American,rushing,YDS,28
2020,4685039,Michael Pratt,QB,Tulane,American Athletic,rushing,CAR,116
2020,4569393,Xavier White,WR,Texas Tech,Big 12,fumbles,LOST,2
2020,4241700,Chandler Speights,WR,Texas State,Sun Belt,receiving,REC,20
2020,4035693,Velus Jones Jr.,WR,Tennessee,SEC,kickReturns,TD,0
2020,4240175,Luke Sanders,TE,Western Michigan,Mid-American,defensive,QB HUR,0
2020,4259726,Greg Latushko,WR,Coastal Carolina,Sun Belt,defensive,QB HUR,0
2020,4429105,Arian Smith,WR,Georgia,SEC,receiving,YDS,86
2020,4064866,Dexter Carter Jr.,TE,Georgia Southern,Sun Belt,defensive,TD,0
2020,4240625,Mike Harley,WR,Miami,ACC,kickReturns,NO,10
2020,4240782,Asim Rose,RB,Kentucky,SEC,receiving,REC,10
2020,4611985,Zyell Griffin,WR,UNLV,Mountain West,receiving,YDS,118
2020,4571877,Jacoby Clarke,RB,Baylor,Big 12,defensive,SOLO,0
2020,4039495,Eli Peters,QB,Toledo,Mid-American,fumbles,LOST,2
2020,4241407,Braydon Johnson,WR,Oklahoma State,Big 12,rushing,CAR,1
2020,4569389,Kai Money,WR,Texas,Big 12,defensive,PD,0
2020,4575668,Gavin Hardison,QB,UTEP,Conference USA,defensive,SOLO,1
2020,4242504,Johnny Johnson III,WR,Oregon,Pac-12,defensive,TOT,3
2020,4361001,Devin Brumfield,RB,Utah,Pac-12,rushing,TD,1
2020,4258419,Hunter Smith,RB,UL Monroe,Sun Belt,defensive,QB HUR,0
2020,4247942,Isaiah Winstead,WR,Toledo,Mid-American,receiving,YDS,429
2020,4567400,Nay'Quan Wright,RB,Florida,SEC,receiving,YDS,219
2020,4362430,Taye Barber,WR,TCU,Big 12,fumbles,FUM,1
2020,4039300,D'Eriq King,QB,Miami,ACC,defensive,TD,0
2020,4374150,Isaiah Hamilton,WR,San José State,Mountain West,receiving,YDS,206
2020,4569330,Austin Jones,RB,Stanford,Pac-12,rushing,TD,9
2020,4361203,Jaron Woodyard,WR,Marshall,Conference USA,receiving,TD,1
2020,4372758,Kevin Austin,WR,Notre Dame,FBS Independents,receiving,REC,1
2020,3917680,Bradrick Shaw,RB,California,Pac-12,rushing,YDS,18
2020,4244734,Hassan Littles,WR,Ball State,Mid-American,defensive,QB HUR,0
2020,4693370,Riley Nowakowski,TE,Wisconsin,Big Ten,defensive,QB HUR,0
2020,4259976,Josh Ali,WR,Kentucky,SEC,puntReturns,TD,0
2020,4428280,Quentin Pringle,WR,Eastern Kentucky,OVC,kickReturns,YDS,75
2020,4426893,Joshua Cephus,WR,UTSA,Conference USA,defensive,SOLO,1
2020,4430254,Jerjuan Newton,WR,Toledo,Mid-American,defensive,QB HUR,0
2020,4379569,Jesse Matthews,WR,San Diego State,Mountain West,puntReturns,NO,12
2020,4426504,Milton Wright,WR,Purdue,Big Ten,receiving,REC,23
2020,4046686,Javon McKinley,WR,Notre Dame,FBS Independents,receiving,YDS,717
2020,4361556,Aron Cruickshank,WR,Rutgers,Big Ten,defensive,SOLO,0
2020,4430968,Kimani Vidal,RB,Troy,Sun Belt,defensive,SACKS,0
2020,4260406,Alexander Horvath,RB,Purdue,Big Ten,receiving,TD,0
2020,4426339,Spencer Rattler,QB,Oklahoma,Big 12,passing,TD,28
2020,4361409,Jahan Dotson,WR,Penn State,Big Ten,puntReturns,TD,1
2020,4372597,Jamarye Joiner,WR,Arizona,Pac-12,receiving,REC,12
2020,4242661,Chris Pierce,WR,Vanderbilt,SEC,receiving,YDS,371
2020,4686781,Brenden Rice,WR,Colorado,Pac-12,receiving,TD,2
2020,4261912,Brenden Knox,RB,Marshall,Conference USA,rushing,TD,9
2020,4361802,Cameron Carroll,RB,Tulane,American Athletic,fumbles,REC,0
2020,4570243,Kairee Robinson,RB,San José State,Mountain West,fumbles,REC,0
2020,4371863,Chance Warren,RB,Navy,American Athletic,receiving,YDS,94
2020,4692162,Willie Erdman,WR,Temple,American Athletic,puntReturns,YDS,25
2020,4360580,Peje' Harris,TE,Georgia Tech,ACC,receiving,REC,11
2020,4360310,Trevor Lawrence,QB,Clemson,ACC,defensive,TOT,1
2020,4039062,Kyle Porter,RB,Houston,American Athletic,receiving,REC,16
2020,4569053,Jamahl Horne,WR,Kansas,Big 12,kickReturns,NO,15
2020,4261173,Bobby Cole,RB,New Mexico,Mountain West,defensive,SOLO,1
2020,4039294,Mulbah Car,RB,Houston,American Athletic,defensive,PD,0
2020,4577726,Jawaun Johnson,WR,Louisiana Tech,Conference USA,defensive,QB HUR,0
2020,4372559,Chase Wolf,QB,Wisconsin,Big Ten,rushing,TD,0
2020,4035654,Riley Lees,WR,Northwestern,Big Ten,receiving,REC,20
2020,4249426,Jalen Wayne,WR,South Alabama,Sun Belt,receiving,REC,33
2020,4430637,Ja'Lynn Polk,WR,Texas Tech,Big 12,fumbles,LOST,1
2020,4427332,Gerald Green,RB,Georgia Southern,Sun Belt,defensive,SACKS,0
2020,4384211,Tahj Magee,WR,Louisiana Tech,Conference USA,defensive,TFL,0
2020,4032491,Aubry Payne,TE,Georgia State,Sun Belt,receiving,YDS,66
2020,4035466,T.J. Chase,WR,Florida Atlantic,Conference USA,receiving,YDS,328
2020,4612078,JaCobian Morgan,QB,Syracuse,ACC,passing,YDS,285
2020,4430934,Zeriah Beason,WR,Oregon State,Pac-12,receiving,YDS,164
2020,4362162,SaRodorick Thompson,RB,Texas Tech,Big 12,fumbles,FUM,2
2020,4430470,TJ Sheffield,WR,Purdue,Big Ten,kickReturns,YDS,381
2020,4426360,Joey Yellen,QB,Pittsburgh,ACC,passing,INT,3
2020,4370350,Artie Henry III,WR,Marshall,Conference USA,receiving,YDS,308
2020,4430934,Zeriah Beason,WR,Oregon State,Pac-12,defensive,SACKS,0
2020,4360522,Rico Arnold,WR,Charlotte,Conference USA,receiving,YDS,36
2020,4427111,Michel Dukes,RB,Clemson,ACC,rushing,CAR,8
2020,4429294,Kalil Branham,WR,Kentucky,SEC,defensive,TFL,0
2020,4243830,Jaelon Darden,WR,North Texas,Conference USA,defensive,SOLO,0
2020,4382092,Tucker Gregg,RB,Georgia State,Sun Belt,rushing,CAR,90
2020,4240703,Kenny Pickett,QB,Pittsburgh,ACC,fumbles,FUM,7
2020,4570259,Daniel Richardson,QB,Central Michigan,Mid-American,defensive,PD,0
2020,4426764,Bryan Bradford,RB,Kent State,Mid-American,receiving,REC,1
2020,4693808,Dior Scott,WR,Hawai'i,Mountain West,fumbles,FUM,2
2020,4430393,Jutahn Mcclain,RB,Kentucky,SEC,defensive,TFL,0
2020,4243966,Chaton Mobley,RB,Middle Tennessee,Conference USA,defensive,TFL,0
2020,4240412,Aaron Hackett,TE,Syracuse,ACC,receiving,TD,2
2020,4426998,Javien Cuff,WR,Buffalo,Mid-American,defensive,TFL,0
2020,4240899,Roshauud Paul,WR,Arkansas State,Sun Belt,passing,TD,1
2020,4035695,Vavae Malepeai,RB,USC,Pac-12,receiving,YDS,64
2020,4578224,Christian Richmond,WR,Central Arkansas,Southland,kickReturns,TD,0
2020,4430393,Jutahn Mcclain,RB,Kentucky,SEC,defensive,TD,0
2020,4360248,Kyle Pitts,TE,Florida,SEC,receiving,TD,12
2020,4426444,Connor Bazelak,QB,Missouri,SEC,passing,YDS,2366
2020,4039294,Mulbah Car,RB,Houston,American Athletic,defensive,SACKS,0
2020,4572454,Marcus Washington,WR,Texas,Big 12,receiving,YDS,56
2020,4241012,Malik Williams,WR,App State,Sun Belt,passing,INT,0
2020,4432620,Parker Washington,WR,Penn State,Big Ten,kickReturns,TD,0
2020,4244306,Jalen Walker,WR,Miami (OH),Mid-American,kickReturns,TD,0
2020,4239996,Travis Etienne,RB,Clemson,ACC,kickReturns,NO,8
2020,4373726,Tyhier Tyler,QB,Army,FBS Independents,rushing,YDS,578
2020,4360900,Jason Bean,QB,North Texas,Conference USA,rushing,TD,5
2020,4036788,Jaxson Kincaide,RB,Western Michigan,Mid-American,rushing,CAR,30
2020,4361579,Javonte Williams,RB,North Carolina,ACC,rushing,TD,19
2020,4685035,Zach Evans,RB,TCU,Big 12,receiving,TD,0
2020,4038809,Jake Bentley,QB,Utah,Pac-12,rushing,YDS,113
2020,4430804,Chris Tyree,WR,Notre Dame,FBS Independents,rushing,YDS,496
2020,4567218,Bo Nix,QB,Auburn,SEC,passing,TD,12
2020,4240600,Kadarius Toney,WR,Florida,SEC,receiving,TD,10
2020,4372780,Tommy Tremble,TE,Notre Dame,FBS Independents,receiving,YDS,217
2020,4360159,Andre Pegues,WR,East Carolina,American Athletic,defensive,TOT,2
2020,4567736,Taji Hudson,WR,East Carolina,American Athletic,defensive,TOT,1
2020,4243966,Chaton Mobley,RB,Middle Tennessee,Conference USA,defensive,TD,0
2020,4245146,Travell Harris,WR,Washington State,Pac-12,receiving,REC,29
2020,4606001,Elelyon Noa,RB,Utah State,Mountain West,rushing,TD,0
2020,4688903,Micah Manning,WR,Eastern Kentucky,OVC,receiving,REC,3
2020,4035465,Cornell Powell,WR,Clemson,ACC,defensive,SACKS,0
2020,4426684,Andrew Bench,TE,Bowling Green,Mid-American,defensive,TOT,11
2020,4426800,Ahmarean Brown,WR,Georgia Tech,ACC,receiving,REC,11
2020,4242248,Austin Williams,WR,Mississippi State,SEC,fumbles,FUM,2
2020,4430089,Michael Mathison,WR,Akron,Mid-American,rushing,CAR,1
2020,4360873,Chris Carter,TE,South Florida,American Athletic,receiving,YDS,24
2020,4035387,Reginald Todd,WR,Troy,Sun Belt,kickReturns,TD,0
2020,4239937,Matt McDonald,QB,Bowling Green,Mid-American,passing,INT,6
2020,4374045,Teagan Quitoriano,TE,Oregon State,Pac-12,defensive,PD,0
2020,4433844,Alex Lines,TE,UNLV,Mountain West,kickReturns,NO,1
2020,4241397,Charleston Rambo,WR,Oklahoma,Big 12,receiving,TD,3
2020,4360763,Brycen Tremayne,WR,Stanford,Pac-12,receiving,TD,0
2020,4240782,Asim Rose,RB,Kentucky,SEC,receiving,YDS,83
2020,4426343,Frank Ladson Jr.,WR,Clemson,ACC,receiving,YDS,281
2020,4029426,Chris Booker,WR,Ohio State,Big Ten,defensive,SACKS,0
2020,4431948,TJ Finley,QB,LSU,SEC,fumbles,REC,0
2020,4361375,Justin Tomlin,QB,Georgia Southern,Sun Belt,fumbles,FUM,3
2020,4613087,Jamaal Bell,WR,Nevada,Mountain West,receiving,REC,3
2020,4430431,Kurtis Rourke,QB,Ohio,Mid-American,passing,TD,3
2020,4426484,Marcus Major,RB,Oklahoma,Big 12,receiving,YDS,29
2020,4373086,Seth Porter,WR,Kansas State,Big 12,defensive,SOLO,3
2020,4242178,De'Vion Warren,WR,Arkansas,SEC,defensive,TOT,3
2020,4361749,Jared Rus,TE,Iowa State,Big 12,defensive,SOLO,2
2020,4429084,Anthony Richardson,QB,Florida,SEC,rushing,CAR,7
2020,4361185,Justin McGriff,WR,Utah State,Mountain West,receiving,TD,2
2020,4249033,Jeremiah Oatsvall,QB,Austin Peay,OVC,passing,YDS,298
2020,4360492,Samson Evans,RB,Eastern Michigan,Mid-American,fumbles,LOST,1
2020,4240600,Kadarius Toney,WR,Florida,SEC,defensive,SACKS,0
2020,4243836,Evan Johnson,RB,North Texas,Conference USA,defensive,QB HUR,0
2020,4567525,Javon Ivory,WR,Memphis,American Athletic,receiving,TD,3
2020,4362478,Emari Demercado,RB,TCU,Big 12,defensive,TD,0
2020,4240121,Thayer Thomas,WR,NC State,ACC,defensive,QB HUR,0
2020,4260943,Julian Ross,RB,Ohio,Mid-American,defensive,QB HUR,0
2020,3932144,Jacob Harris,WR,UCF,American Athletic,defensive,TFL,0
2020,4259302,Johnathan Lewis,TE,Rutgers,Big Ten,defensive,TD,0
2020,4428643,Tristen Tewes,TE,Northern Illinois,Mid-American,defensive,PD,0
2020,4240858,Hendon Hooker,QB,Virginia Tech,ACC,rushing,CAR,120
2020,4245679,Rhett Rodriguez,QB,Arizona,Pac-12,passing,TD,0
2020,4360932,DeAndre Torrey,RB,North Texas,Conference USA,receiving,REC,4
2020,4362196,Leddie Brown,RB,West Virginia,Big 12,rushing,YDS,1009
2020,4035767,Garrett Groshek,RB,Wisconsin,Big Ten,receiving,YDS,119
2020,4360886,Terrence Horne,WR,South Florida,American Athletic,receiving,REC,4
2020,4428211,Nathaniel Peat,RB,Stanford,Pac-12,kickReturns,YDS,398
2020,4372776,Matt Salerno,WR,Notre Dame,FBS Independents,puntReturns,NO,10
2020,4429435,Brady Cook,QB,Missouri,SEC,passing,INT,0
2020,4367180,Kazmeir Allen,WR,UCLA,Pac-12,receiving,YDS,40
2020,4686343,Braden Smith,WR,Louisville,ACC,defensive,TFL,0
2020,4426335,Graham Mertz,QB,Wisconsin,Big Ten,rushing,YDS,38
2020,4361624,Tye Evans,RB,Ball State,Mid-American,defensive,TD,0
2020,4040880,Sam Noyer,QB,Colorado,Pac-12,defensive,TOT,1
2020,4039599,Devaughn Cooper,WR,UTEP,Conference USA,receiving,REC,10
2020,4432317,Nathaniel Jones,RB,New Mexico,Mountain West,rushing,TD,4
2020,4365503,Kevin Shaa,WR,Liberty,FBS Independents,receiving,REC,25
2020,4240033,Ontaria Wilson,WR,Florida State,ACC,defensive,TD,0
2020,4570738,Ke'Shawn Williams,WR,Wake Forest,ACC,defensive,SOLO,2
2020,4384197,Jordan Myles,RB,Louisiana Tech,Conference USA,defensive,TFL,0
2020,4361735,Re-al Mitchell,QB,Temple,American Athletic,rushing,TD,0
2020,4243542,Bentavious Thompson,RB,UCF,American Athletic,rushing,YDS,382
2020,4360527,Chris Wiggins,WR,Charlotte,Conference USA,defensive,QB HUR,0
2020,4240638,Marshall Few,WR,Miami,ACC,receiving,REC,2
2020,4362033,Calvin Brownholtz,QB,UTEP,Conference USA,rushing,TD,3
2020,4255713,Randall St. Felix,WR,South Florida,American Athletic,receiving,YDS,150
2020,4568312,Jordan Houston,RB,NC State,ACC,receiving,YDS,59
2020,4050937,Levi Falck,WR,Nebraska,Big Ten,defensive,SACKS,0
2020,4257587,Jadan Blue,WR,Temple,American Athletic,kickReturns,NO,10
2020,4243176,Brady Russell,TE,Colorado,Pac-12,receiving,YDS,77
2020,4040723,T.J. Simmons,WR,West Virginia,Big 12,fumbles,REC,0
2020,4612078,JaCobian Morgan,QB,Syracuse,ACC,passing,TD,2
2020,4686373,Jordan Brown,WR,Kansas,Big 12,receiving,TD,0
2020,4372414,Elijah Moore,WR,Ole Miss,SEC,rushing,TD,0
2020,4374030,Jesiah Irish,WR,Oregon State,Pac-12,puntReturns,NO,1
2020,4245238,Joshua Fields,RB,UTEP,Conference USA,rushing,TD,1
2020,4241224,Abram Smith,RB,Baylor,Big 12,defensive,TD,0
2020,4373642,Dax Milne,WR,BYU,FBS Independents,fumbles,FUM,2
2020,4429001,Jase McClellan,RB,Alabama,SEC,rushing,TD,2
2020,4426635,Darwin Barlow,RB,TCU,Big 12,kickReturns,NO,2
2020,4570183,Marcus Phillips Jr.,WR,UNLV,Mountain West,defensive,TOT,1
2020,4568278,Spence Massey,RB,Georgia Tech,ACC,rushing,TD,0
2020,4431219,Kyren Lacy,WR,Louisiana,Sun Belt,receiving,YDS,364
2020,4368174,Damoriea Vick,WR,Missouri State,MVFC,receiving,TD,0
2020,4247225,Bryant Barr,RB,Campbell,Big South,rushing,CAR,44
2020,4064866,Dexter Carter Jr.,TE,Georgia Southern,Sun Belt,defensive,PD,0
2020,4689984,Antoine Robinson,WR,Southern Miss,Conference USA,fumbles,LOST,1
2020,4261605,Chance Bell,RB,San Diego State,Mountain West,kickReturns,NO,1
2020,4039660,Josh Stewart,WR,Tulsa,American Athletic,receiving,REC,10
2020,4362909,Cameron Gardner,WR,Mississippi State,SEC,receiving,REC,12
2020,4050370,Keon Howard,QB,Tulane,American Athletic,rushing,TD,1
2020,4244029,Jarret Doege,QB,West Virginia,Big 12,fumbles,LOST,3
2020,4240408,Nykeim Johnson,WR,Syracuse,ACC,receiving,REC,20
2020,4575715,Jacob Gasser,WR,UNLV,Mountain West,receiving,YDS,26
2020,4036650,Shai Werts,WR,Georgia Southern,Sun Belt,punting,In 20,0
2020,4360177,Julon Williams,RB,UTSA,Conference USA,receiving,YDS,22
2020,4373273,British Brooks,RB,North Carolina,ACC,defensive,TD,0
2020,4242178,De'Vion Warren,WR,Arkansas,SEC,receiving,TD,3
2020,4370350,Artie Henry III,WR,Marshall,Conference USA,fumbles,FUM,1
2020,4361556,Aron Cruickshank,WR,Rutgers,Big Ten,receiving,TD,1
2020,4430800,Julian Fleming,WR,Ohio State,Big Ten,defensive,TOT,1
2020,4044143,Randle Jones,WR,Temple,American Athletic,receiving,TD,2
2020,4429847,Garrett Greene,QB,West Virginia,Big 12,passing,INT,0
2020,4689856,Jordan Funk,TE,Army,FBS Independents,defensive,QB HUR,0
2020,4686343,Braden Smith,WR,Louisville,ACC,receiving,YDS,370
2020,4427575,Jha'Quan Jackson,WR,Tulane,American Athletic,receiving,TD,8
2020,4243534,Emmanuel Logan-Greene,WR,New Mexico,Mountain West,rushing,YDS,50
2020,4240710,A.J. Davis,RB,Pittsburgh,ACC,rushing,CAR,61
2020,3921681,Bailey Gaither,WR,San José State,Mountain West,defensive,TOT,2
2020,4240899,Roshauud Paul,WR,Arkansas State,Sun Belt,puntReturns,YDS,10
2020,4565889,Omarion Dollison,WR,South Florida,American Athletic,rushing,CAR,2
2020,4596298,Leroy Deshazor,WR,Arkansas State,Sun Belt,fumbles,REC,1
2020,4362186,Erik Ezukanma,WR,Texas Tech,Big 12,defensive,TD,0
2020,4427351,Grant Gunnell,QB,Arizona,Pac-12,defensive,SOLO,1
2020,3932144,Jacob Harris,WR,UCF,American Athletic,receiving,YDS,539
2020,4240858,Hendon Hooker,QB,Virginia Tech,ACC,fumbles,REC,0
2020,4429867,Tyler Hudson,WR,Central Arkansas,Southland,puntReturns,YDS,9
2020,4428211,Nathaniel Peat,RB,Stanford,Pac-12,kickReturns,TD,0
2020,4570420,Jake Rogers,WR,Bowling Green,Mid-American,puntReturns,YDS,32
2020,4360792,Mike Evans,TE,App State,Sun Belt,fumbles,REC,0
2020,4568419,Khaleb Hood,WR,Georgia Southern,Sun Belt,defensive,TOT,1
2020,4036592,Tyler Lamm,TE,UL Monroe,Sun Belt,receiving,TD,0
2020,4428532,Ainias Smith,WR,Texas A&M,SEC,rushing,YDS,293
2020,4426348,Jayden Daniels,QB,Arizona State,Pac-12,passing,INT,1
2020,4047648,Tre Nixon,WR,UCF,American Athletic,receiving,TD,2
2020,4039912,B.J. Smith,RB,Troy,Sun Belt,defensive,TFL,0
2020,4567105,Jahleel Billingsley,TE,Alabama,SEC,receiving,TD,3
2020,4241988,Trevon Grimes,WR,Florida,SEC,receiving,TD,9
2020,4428904,Antavious Willis,RB,Southern Miss,Conference USA,defensive,PD,0
2020,4374033,Jermar Jefferson,RB,Oregon State,Pac-12,receiving,TD,0
2020,4689981,Don Ragsdale,RB,Southern Miss,Conference USA,defensive,PD,0
2020,4374030,Jesiah Irish,WR,Oregon State,Pac-12,kickReturns,YDS,98
2020,4567156,Treylon Burks,WR,Arkansas,SEC,passing,INT,2
2020,4360973,Trad Beatty,QB,Temple,American Athletic,passing,YDS,251
2020,4241891,Alec Sinkfield,RB,West Virginia,Big 12,puntReturns,TD,0
2020,4361112,Devin Culp,TE,Washington,Pac-12,receiving,REC,1
2020,4430255,Charles Njoku,WR,UCLA,Pac-12,receiving,REC,3
2020,4291693,Terrance Dixon,WR,Georgia State,Sun Belt,defensive,TOT,1
2020,4050954,Isaac Smith,WR,Missouri State,MVFC,receiving,TD,0
2020,4373695,Justin Jeffery,WR,Charlotte,Conference USA,defensive,SACKS,0
2020,4035912,Kwamie Lassiter II,WR,Kansas,Big 12,puntReturns,TD,0
2020,4430431,Kurtis Rourke,QB,Ohio,Mid-American,passing,YDS,394
2020,4036026,Dez Fitzpatrick,WR,Louisville,ACC,defensive,SOLO,2
2020,4360057,Charles McClelland,RB,Cincinnati,American Athletic,rushing,CAR,22
2020,4428994,Arik Gilbert,TE,LSU,SEC,receiving,REC,35
2020,4430590,Payton Thorne,QB,Michigan State,Big Ten,passing,TD,3
2020,4362075,Cameron Rising,QB,Utah,Pac-12,passing,YDS,45
2020,4570278,Jonathan Barna,RB,Ohio,Mid-American,rushing,CAR,8
2020,4373642,Dax Milne,WR,BYU,FBS Independents,fumbles,REC,0
2020,4429313,Tyrone Broden Jr.,WR,Bowling Green,Mid-American,receiving,REC,6
2020,4567481,James Fullbright III,RB,Houston,American Athletic,rushing,CAR,4
2020,4430089,Michael Mathison,WR,Akron,Mid-American,rushing,YDS,3
2020,4361227,Marcel Murray,RB,Arkansas State,Sun Belt,rushing,TD,1
2020,4427144,Jaylen Ellis,WR,Baylor,Big 12,receiving,REC,2
2020,4259305,Bo Melton,WR,Rutgers,Big Ten,receiving,YDS,639
2020,4362874,Matt Corral,QB,Ole Miss,SEC,rushing,YDS,516
2020,4245679,Rhett Rodriguez,QB,Arizona,Pac-12,rushing,YDS,5
2020,4040771,John Raine,TE,Northwestern,Big Ten,receiving,YDS,233
2020,4692530,Chandler Morris,QB,Oklahoma,Big 12,passing,YDS,39
2020,4430089,Michael Mathison,WR,Akron,Mid-American,rushing,TD,0
2020,4361504,BJ Busbee,WR,San Diego State,Mountain West,defensive,TD,1
2020,4428512,Kedon Slovis,QB,USC,Pac-12,rushing,YDS,-57
2020,4036788,Jaxson Kincaide,RB,Western Michigan,Mid-American,fumbles,LOST,1
2020,4040407,Jack Abraham,QB,Southern Miss,Conference USA,rushing,YDS,34
2020,4429153,Lideatrick Griffin,WR,Mississippi State,SEC,defensive,TFL,0
2020,4244734,Hassan Littles,WR,Ball State,Mid-American,defensive,SOLO,4
2020,4686781,Brenden Rice,WR,Colorado,Pac-12,defensive,SACKS,0
2020,4685186,Tyler Van Dyke,QB,Miami,ACC,passing,INT,0
